# Arm joint positions + body pose collected at 100.0 Hz
# Timestamp: 20251118_144535
# Format: timestep, timestamp_utc, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_yaw, body_roll, body_pitch
# Body pose: x, y, z in odom frame (meters), yaw/roll/pitch (EulerZXY) in radians for SE2 and footprint_R_body

116, 1763495139.312573, 0.000713666, -3.118823608, 3.139001846, 1.560747385, -0.002182325, -1.568387985, 0.023194015, 0.444915762, -5.530437715, -4.263501885, -0.077438632, 0.003472956, 0.013291361
117, 1763495139.3374379, 0.000718594, -3.118830999, 3.138999144, 1.560732166, -0.002176245, -1.568372726, 0.023191531, 0.444922584, -5.530440837, -4.263502342, -0.077430701, 0.003474702, 0.013299846
118, 1763495139.374354, 0.000716130, -3.118835926, 3.138999144, 1.560750445, -0.002173225, -1.568387985, 0.023191492, 0.444923215, -5.530440216, -4.263500105, -0.077422329, 0.003479595, 0.013289753
119, 1763495139.396441, 0.000699043, -3.118833462, 3.139001767, 1.560744365, -0.002176245, -1.568381945, 0.023194055, 0.444920646, -5.530445549, -4.263504088, -0.077438914, 0.003479402, 0.013286311
120, 1763495139.4235048, 0.000711203, -3.118828535, 3.139004469, 1.560747425, -0.002179305, -1.568375905, 0.023199141, 0.444922092, -5.530438958, -4.263501943, -0.077438027, 0.003481613, 0.013278392
121, 1763495139.452296, 0.000716130, -3.118830999, 3.138996442, 1.560744365, -0.002167145, -1.568394025, 0.023194055, 0.444924797, -5.530436274, -4.263500943, -0.077431668, 0.003466404, 0.013278053
122, 1763495139.4752052, 0.000701427, -3.118835926, 3.139004469, 1.560732166, -0.002191464, -1.568381786, 0.023188968, 0.444920807, -5.530437842, -4.263503957, -0.077426856, 0.003484202, 0.013279045
123, 1763495139.505285, 0.000721057, -3.118838390, 3.139001767, 1.560750405, -0.002164086, -1.568378925, 0.023188968, 0.444923044, -5.530428230, -4.263501888, -0.077431079, 0.003464614, 0.013266751
124, 1763495139.52985, 0.000723600, -3.118838390, 3.139004469, 1.560741305, -0.002182325, -1.568378925, 0.023196618, 0.444917709, -5.530429904, -4.263502522, -0.077422881, 0.003472392, 0.013259873
125, 1763495139.5619042, 0.000713666, -3.118838310, 3.139001767, 1.560747425, -0.002179265, -1.568384965, 0.023186445, 0.444924367, -5.530434698, -4.263504774, -0.077423451, 0.003474160, 0.013270607
126, 1763495139.590765, 0.000713666, -3.118828535, 3.139001846, 1.560741305, -0.002173225, -1.568381945, 0.023191492, 0.444926110, -5.530438316, -4.263503407, -0.077415051, 0.003472579, 0.013272570
127, 1763495139.620456, 0.000708818, -3.118840774, 3.138999144, 1.560735226, -0.002170165, -1.568387985, 0.023178796, 0.444925649, -5.530435874, -4.263505465, -0.077416393, 0.003477015, 0.013276494
128, 1763495139.644073, 0.000716130, -3.118835926, 3.139004469, 1.560735186, -0.002182404, -1.568375746, 0.023186405, 0.444932315, -5.530427178, -4.263504045, -0.077420347, 0.003462214, 0.013284247
