# Arm joint positions + body pose collected at 100.0 Hz
# Timestamp: 20251118_130129
# Format: timestep, timestamp_utc, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

87, 1763488891.581116, -0.017384291, -0.768204431, 2.154367129, 0.029298862, -1.420968612, -0.019441605, 0.960121231, 0.166733818, -5.361766444, -4.083764685, -0.194934972
88, 1763488891.6141582, -0.017381827, -0.768194675, 2.154369831, 0.029292742, -1.420965592, -0.019429445, 0.960126368, 0.166725550, -5.361773942, -4.083764673, -0.194942915
89, 1763488891.640943, -0.017379363, -0.768199424, 2.154361725, 0.029301961, -1.420983791, -0.019438585, 0.960128860, 0.166728155, -5.361776503, -4.083765178, -0.194958152
90, 1763488891.669199, -0.017386754, -0.768204451, 2.154367129, 0.029295842, -1.420980692, -0.019438664, 0.960128911, 0.166720301, -5.361768818, -4.083767358, -0.194964694
91, 1763488891.69227, -0.017389297, -0.768201987, 2.154367129, 0.029298862, -1.420956294, -0.019429445, 0.960128911, 0.166716715, -5.361769758, -4.083768270, -0.194983074
92, 1763488891.725769, -0.017376820, -0.768201967, 2.154372533, 0.029304981, -1.420989831, -0.019435565, 0.960126343, 0.166721581, -5.361776222, -4.083764233, -0.194998645
93, 1763488891.751601, -0.017391761, -0.768206835, 2.154372533, 0.029314121, -1.420971473, -0.019423405, 0.960131454, 0.166716925, -5.361777503, -4.083765324, -0.194993221
94, 1763488891.7739, -0.017381748, -0.768202066, 2.154369831, 0.029304902, -1.420965513, -0.019423485, 0.960133998, 0.166723242, -5.361768953, -4.083766738, -0.194994136
95, 1763488891.811973, -0.017384370, -0.768206835, 2.154372533, 0.029301882, -1.420965513, -0.019426505, 0.960126343, 0.166724573, -5.361774687, -4.083766014, -0.195003800
96, 1763488891.845031, -0.017389297, -0.768204451, 2.154369831, 0.029298862, -1.420959393, -0.019441605, 0.960131454, 0.166724541, -5.361769012, -4.083769442, -0.195016135
97, 1763488891.87584, -0.017386675, -0.768197139, 2.154364427, 0.029304981, -1.420971632, -0.019429445, 0.960128886, 0.166726346, -5.361774433, -4.083767756, -0.195025929
98, 1763488891.907265, -0.017386754, -0.768201987, 2.154369831, 0.029289643, -1.420983712, -0.019432465, 0.960133972, 0.166731386, -5.361771944, -4.083766068, -0.195023223
99, 1763488891.933901, -0.017379363, -0.768201907, 2.154364427, 0.029298862, -1.420971632, -0.019426425, 0.960128886, 0.166734562, -5.361774801, -4.083765528, -0.195025804
100, 1763488891.9575539, -0.017384211, -0.768199603, 2.154369831, 0.029295842, -1.420971632, -0.019438585, 0.960131429, 0.166735072, -5.361775311, -4.083767572, -0.195026968
101, 1763488891.9794738, -0.017386754, -0.768199484, 2.154372533, 0.029292742, -1.420965513, -0.019438585, 0.960123800, 0.166738339, -5.361766917, -4.083766812, -0.195038638
102, 1763488892.0096362, -0.017386754, -0.768197139, 2.154369831, 0.029295762, -1.420965513, -0.019417286, 0.960133998, 0.166740286, -5.361770187, -4.083764912, -0.195036649
103, 1763488892.0356429, -0.017386754, -0.768194675, 2.154367129, 0.029301882, -1.420989831, -0.019426425, 0.960136464, 0.166739756, -5.361770796, -4.083764477, -0.195040338
104, 1763488892.062759, -0.017384291, -0.768204371, 2.154372533, 0.029292742, -1.420971632, -0.019423326, 0.960121257, 0.166739315, -5.361763368, -4.083765927, -0.195036766
105, 1763488892.087496, -0.017381827, -0.768209279, 2.154369831, 0.029295762, -1.420971553, -0.019420306, 0.960131454, 0.166743648, -5.361761684, -4.083764860, -0.195036183
106, 1763488892.115029, -0.017386913, -0.768201987, 2.154372533, 0.029301882, -1.420980692, -0.019429445, 0.960126343, 0.166748977, -5.361763549, -4.083765298, -0.195035598
107, 1763488892.1450229, -0.017384370, -0.768199603, 2.154369831, 0.029308001, -1.420962413, -0.019420385, 0.960131454, 0.166748337, -5.361770727, -4.083765756, -0.195038550
108, 1763488892.167697, -0.017384370, -0.768199523, 2.154369831, 0.029311021, -1.420962493, -0.019408147, 0.960128911, 0.166757306, -5.361776864, -4.083763161, -0.195046719
